,country iso3,units,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,ABW,kg/person/year,5.245265394085541,5.954265290019723,5.987567075998471,5.9735342921123555,5.934255833902346,5.8787602795808285,5.825592578474335,5.777812770293338,5.725168270558328,5.684821522336226,5.666989560699889,5.673635743370333,5.6952657177489066,5.720173439201356,5.7341904392906775,5.726408201702287,5.6883390725077065,5.62559451889775,5.564317527857677,5.527887564921513,5.5196663625423055,5.534394648748673,5.597507939224271,5.723465543660448,5.836823946521885,5.862791470704607,5.8059764733286325,5.756395853618583,5.643137885659772,5.514814105516594,5.465017049894838,5.388052758077096,5.330180677180788,5.322695321175822,5.359482319268656,5.322309746737932,5.246613039089702,5.157330533158482,5.043080042442752,4.840916151453049,4.69919898143122,4.674462913213411,4.636330195419539,4.6414061352152025,4.629854204719868,4.6058686067572445,4.604168230597002,4.617757347676097,4.63225250681565,4.641299467592398,4.665162467611014,4.699964028568949
1,AFG,kg/person/year,0.1727623586443133,0.20453923597999682,0.21287150091587012,0.2210057029100486,0.22890274232871288,0.2365655881728029,0.24541590516543427,0.2541763024453428,0.2621621227128939,0.2724620584632086,0.29255046591526573,0.3360409353911608,0.3776872996732647,0.38654631336972134,0.3786505339931056,0.3735852212687975,0.37990703878025067,0.39076837923493896,0.39904167496349957,0.4051516228598388,0.4297664212870166,0.45908947255623855,0.4455194705490796,0.4195392837441159,0.41238015131108524,0.4149327463334051,0.4188804109124755,0.418331055616795,0.4150848329062162,0.4115752941794689,0.42181119855769195,0.43962925281357285,0.43533927045022686,0.4344383448281021,0.4360107631240402,0.454100848332185,0.4618173016476395,0.4937749709382986,0.5085653204212448,0.5450083766679702,0.5783796679555193,0.5799363126264802,0.6004748639240196,0.6146278954129184,0.6194334182956095,0.623164594665519,0.62896833438878,0.6330627618805525,0.632977281024769,0.6339068613010461,0.6334033136793046,0.6336963022732823
2,AGO,kg/person/year,0.28367252019010897,0.33974639772381604,0.3575750076172426,0.3748257892927885,0.39224901329669676,0.410064066547149,0.4323271290934637,0.45526467463202025,0.47832290119211135,0.5019652025145532,0.526196548050329,0.5549191082501598,0.5849488378336033,0.615206313479945,0.644912425695899,0.6733064987998741,0.7035188022142885,0.7335001264273792,0.7632060026034467,0.7932890125667316,0.8249581120017284,0.8553690094463096,0.8709139896314327,0.8326520916217411,0.8525114893626378,0.9124345774693717,0.9702822792441956,1.0124737794387197,1.0469046048891955,1.0751060050041104,1.106189769248707,1.1428435635635552,1.208881014064001,1.248857741310719,1.3094186442796585,1.3870799413026371,1.4484299749339116,1.51582312979584,1.5762501065593737,1.599994617882594,1.63296806185938,1.6622001279642937,1.7096499786677872,1.7470241752373754,1.782812637536057,1.8036489192678993,1.794251015314316,1.7909125348331607,1.7810148006695312,1.7783925399647484,1.7780295504452102,1.77243052112224
3,AIA,kg/person/year,5.218962555626293,5.217604336261653,5.2236402688344326,5.232875458446633,5.244461994991446,5.252687958069009,5.236707884500539,5.2305046685074394,5.229139829625095,5.230176786041539,5.23200708042683,5.217013727347435,5.5586796216139716,5.544256215012878,5.463128481363025,5.285934561314608,5.349877488488908,5.402796383136095,5.442836978841669,5.468434295584384,5.492190920238095,5.487070230822791,5.501418781658603,5.536688213891021,5.569597876496366,5.595061167180503,5.5755334319375445,5.564386035136203,5.534067627678572,5.505202684974818,5.468517969928487,5.476206113214034,5.533648249965397,5.592981217711172,5.647642787397352,5.698710968733509,5.7079915756916835,5.7160672079207915,5.720742753621367,5.720846963942531,5.7166044895839665,5.713218688913875,5.733258028093646,5.6979505844671525,5.593686912124646,5.5011218890464715,5.39416697754675,5.321598097795538,5.2634079071470925,5.219256822148244,5.174349868475843,5.128542636485431
4,ALB,kg/person/year,1.0220880688453846,1.1606427345331347,1.1657122172467824,1.1711887572330344,1.177094784301894,1.1834512778364918,1.1913014703812337,1.200483602433333,1.211094629965828,1.2232375366753865,1.2366809376151353,1.2530363937543882,1.2700247072303537,1.2883530127731984,1.3098309144610354,1.3356313392272345,1.3675086706580781,1.40444926626883,1.442275797759437,1.4751357285097537,1.4984403326866291,1.3921671266795694,1.3609087078408433,1.4049724506892605,1.454725552963404,1.527875472993523,1.600900799326482,1.5972536599037288,1.672889358883631,1.781597607342173,1.8717672458320986,1.9913841590436616,2.102374135608479,2.218467186331095,2.336890649129341,2.456558850903868,2.584033072770742,2.711862364571296,2.847950716887958,2.963105693970635,3.080554124509379,3.1927585223287576,3.2997985164689214,3.4061719375179687,3.5197034185975395,3.6388777501315706,3.7348432433730188,3.833381297863931,3.936306974809985,4.032254769374745,4.136171068408207,4.249047274706363
5,ARE,kg/person/year,13.886257250577689,15.830456365944972,16.57587559395134,17.580926410275033,18.737777429935463,19.968199707781096,20.700105455468048,20.89163619685624,20.99848351372463,20.907794146089174,20.624116988616912,20.42638063922267,20.380145451109556,20.20524671244663,20.04259238637623,19.97817155097511,19.79417364777146,19.495822781540685,19.301932000476338,19.178791747219616,19.104382428672775,18.963077076741833,18.928286440581864,18.887108882465757,18.991386896233788,19.10358497245796,19.124266008098388,19.035866800910664,18.83924650952371,18.76764010122958,18.99115905636862,19.050096507939905,19.155225780604376,19.641906671644758,20.61150503571272,21.45048840906187,21.409382576254036,20.381411850864282,19.374334673357005,18.54607133918388,18.821756453393988,19.73327526242813,20.26745680308031,20.5741534431452,20.77612340385432,21.02680954639948,21.242036901985188,21.41797719625054,21.630698876565628,21.828018721777198,22.01863613883233,22.197030602981584
6,ARG,kg/person/year,6.819793802534039,7.59307769699636,7.662153246350251,7.730194035872778,7.792452452488538,7.853589055756015,7.9100786082193855,7.960984908421048,8.008694795115295,8.057131726672658,8.109138243316822,8.17082891859816,8.235866215956484,8.30325979048537,8.372330052497642,8.442237774602939,8.50501577065594,8.565675230667624,8.624808052843868,8.683735440008485,8.743244015043727,8.915637995334528,9.08202491023685,9.252293196966606,9.381189745546484,9.346877224993282,9.445154703872873,9.6072223899017,9.70093864888178,9.650607161207487,9.636944637268972,9.559079273342803,9.34173787018951,9.493375911519426,9.690216453166528,8.39827714061537,8.546955910791365,5.925832358099815,4.590901311603341,4.54596769300781,4.628185064841534,4.690121803720743,4.688399902852676,4.710107439488033,4.69190145288837,4.715041214465429,4.698127406169394,4.720160932840273,4.7033133017893896,4.706942353068419,4.715165183434233,4.726111841875681
7,ARM,kg/person/year,3.6842184484218015,4.263889777187126,4.351770791106883,4.4368143160069335,4.517172982218824,4.591258609475138,4.633867941131322,4.664599122898727,4.687903977428261,4.73113512314235,4.804705154004803,4.856275740131873,4.897706765659455,4.934242101955631,4.977066263055981,5.032171175975251,5.085255580399269,5.1445594837242385,5.208245342149518,5.1429329632076115,5.001210082398646,4.70088093631136,3.950014869896253,3.7810557401699976,3.846472796111583,3.926772991982622,3.9750329657461374,4.004356526591222,4.0890716823567,4.142011540213909,4.2237191577245925,4.362776266455972,4.5424514734252766,4.727492761804246,4.868784963385735,5.038894963399738,5.20805908558936,3.3358087020316587,3.4465108599473564,3.3324883213502297,3.3342194064133475,3.380655275489591,3.452209879679703,3.501512117819248,3.5490520244552637,3.59264818258178,3.622510149460803,3.7061732891676953,3.781466167645846,3.845542431759603,3.909490022052975,3.975428112299505
8,ATA,kg/person/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ATF,kg/person/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
