,country iso3,units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,AUS,kg/person/year,35.7491718062227,35.25609380267112,34.51843688052985,34.09419170427311,32.45139726626103,32.36923663274102,28.89151796536814,28.329050673402044,26.550935520456314,26.533601045099353,25.81934662928937,25.606064709722908,25.66580037712358,23.44949399814681,22.304326240789486,21.72021023332108,20.87549253751033,21.07617238402621,21.44154932590194,20.90274182152794,21.07657495369489,20.030620661041173,17.534070610893824,15.911205672933397,15.613540385193957,14.619414156098202,14.58453169387405,14.785419749890343,13.767865717638214,14.38845158036169,14.216587342191103,13.882664785032759
1,AUT,kg/person/year,18.9817335426822,19.156124768703183,18.744250829451488,18.421870103915282,17.803016400259093,16.886802551373545,15.91384415131727,15.180682877108277,14.569924759181871,13.933539982221301,13.316880935394792,12.726858026212856,12.619829606386613,12.537452293799735,12.662237350844334,11.85238821591965,11.193693257361955,10.531686003284136,9.967741648901326,9.15409036809058,8.446559295203642,7.7941988067326555,7.208643369650356,6.59718787364494,5.997085738731843,5.486806897591261,4.992665347777862,4.607571388456255,4.250008093375264,3.9752127529563404,3.7318731400501113,3.5154863169417028
2,BEL,kg/person/year,11.9170041490106,12.409715370615967,12.74987318124086,11.452007942064474,12.183053284063186,12.193958856547317,11.873984887569257,12.048980454479738,11.694916182708985,11.15881258373735,10.701523290649511,9.26072860117822,8.673983407183172,7.44789379041956,7.446317450494019,6.692817065046051,6.381898974081463,5.888557993592299,5.379365714169377,5.069870197783295,4.520893332901118,4.334445962576412,4.1467882400200775,3.7312363718760526,3.458249800104065,3.034412039966438,2.8448577167941993,2.7273465723512698,2.4489785228866108,2.2503117730820312,1.9878875185152363,1.7878978707138276
3,BGR,kg/person/year,8.552113822106053,8.535200549793686,8.511255063001414,8.669899322594679,9.656003826842356,10.422518751549973,10.987362354565054,11.397499401647705,11.635008532296725,11.860912677269118,12.130582878180721,12.361919527135958,12.572597771088514,12.783867740336749,12.946572030222173,13.127004037826651,13.145381543924092,13.274792677801987,13.544282731250613,13.813832499697158,13.93215388473535,14.119348026415935,13.969285667059465,13.787567876638425,13.382944862894066,13.286624721012032,13.056020927685797,12.642341643495408,12.34739388179605,12.056376789479224,11.79043141312052,11.611316026213483
4,BLR,kg/person/year,6.5359585579928785,6.565887700124577,6.59917838796142,6.638048355733498,6.679917024463155,6.72729818296261,6.7940755678338025,6.967322274088027,7.141053663415645,7.325849178447811,7.540358118226472,7.764062658502756,7.99455215533678,8.241004266778106,8.548219860721321,8.971279593217268,9.138024764120015,9.340652599625274,9.49730399163742,9.70267945989216,9.949008812417272,10.249882781096625,10.521582994988742,10.787639178745824,10.987218284788012,11.146179479848398,11.280524839387063,11.427974006978339,11.562047095296323,11.675961058248895,11.548670609752806,11.15602390311215
5,CAN,kg/person/year,24.62636951033801,24.328800312650028,24.158661560430456,24.261850587940565,24.30687865024177,24.048151871489456,23.495799168404087,23.258322321143453,23.529259767514016,24.366790247777494,24.664603362303822,24.00037955852388,24.197349583124005,24.069912204243103,23.906382721831474,23.80398579989948,23.74375312577312,22.992805122198718,22.76376321526179,21.438661565856673,20.504778605066388,20.240214634269158,20.45649352459696,20.54062005343388,20.322719149768222,20.07862901538171,19.716450614533247,19.754761848628885,19.458364762673668,19.076920806398604,18.850038676498052,18.801536219163626
6,CHE,kg/person/year,4.5874565478486575,3.987892973960447,3.9529743078130224,3.651334802261956,3.2955552841163134,3.281859233845915,3.2064201957341556,3.120884188199291,3.0191942540897365,2.9405233514948756,2.9240918238070726,2.9900463747661914,3.0311909054927657,2.8595246120815543,2.9139357804765136,2.8506677382248076,2.8020965858239655,2.6755312716788757,2.5189676011168993,2.3663488012329323,2.2438537360809008,2.1184348542317504,2.0034173205775376,1.8954134994121805,1.8004734121816248,1.6983645450009732,1.603327784477967,1.5133191752131854,1.4215507454752718,1.3306726022752025,1.2596235066902521,1.1892782364556438
7,CYP,kg/person/year,13.378269124195056,13.440567383708892,13.5031981142729,13.529553130253262,13.516864151266645,13.531639960551635,13.595798101554466,13.66795800589091,13.750580819962304,13.835188367964385,13.925557475763357,14.023059668447727,14.13558208809051,14.238636440011986,14.351798766996753,14.475975497704885,14.595632719954311,14.746922133910724,14.90665403521639,15.07951443403392,15.243647041990245,15.453021724736196,15.65030718809978,15.894526547722638,16.037023226055652,16.074909668318963,16.131478986554598,16.2037377960106,16.2645288791491,16.320445752702874,16.38816423894407,16.422304558698983
8,CZE,kg/person/year,6.9611081860425434,7.278846351708943,7.552373674618162,7.8558839268388185,8.159865455646859,8.453654815291193,8.625860356852039,8.96916963929123,9.304682716301148,9.639572794713901,9.876867194220873,10.162781216119502,10.427610126584991,10.721490620774576,10.555720997973523,10.6741646843043,10.77924669816167,10.641595694281689,11.128873400752651,11.468964184331892,11.838689348404452,11.921876142647431,12.073455870150823,12.23251224063259,12.024782872831771,12.156292818554158,12.123784337034492,12.146188464223126,12.249048729638734,12.382797330243442,12.510748635479912,12.656822579191331
9,DEU,kg/person/year,16.734984502243133,17.598245798087138,17.93088288851709,17.798410315810084,17.314802036731827,16.666514223750024,15.840643269908629,14.381155125982417,13.270851740147483,12.363297236477594,11.5052201808186,10.62845600801074,9.840045164111281,9.074111203623104,7.951635967673981,7.194820854924105,6.3842194721742755,5.705508104261648,5.106930057250482,4.497147849545564,3.959061096643115,3.5386151628344376,3.167922130406479,2.8295093996075518,2.529012601878905,2.2592385974934137,2.0202250117795244,1.85181433265685,1.6994404698590155,1.4718669416794299,1.2742504445151788,1.1022130895591356
