City,Country,Country ISO3,Latitude,Longitude,Population,Input Data Source,Waste Generation Rate (tons/year),Waste Generation Rate per Capita (kg/person/day),Waste Components: Food (%),Waste Components: Green (%),Waste Components: Wood (%),Waste Components: Paper and Cardboard (%),Waste Components: Textiles (%),Waste Components: Plastic (%),Waste Components: Metal (%),Waste Components: Glass (%),Waste Components: Rubber/Leather (%),Waste Components: Other (%),Diversons: Compost (%),Diversons: Anaerobic Digestion (%),Diversons: Incineration (%),Diversons: Recycling (%),Emissions Source,Year,Emissions: Food (tons CH4/year),Emissions: Green (tons CH4/year),Emissions: Wood (tons CH4/year),Emissions: Paper and Cardboard (tons CH4/year),Emissions: Textiles (tons CH4/year),Emissions: Total (tons CH4/year),Emissions per Capita (kg CH4/person/year),Percentile: Emissions per Capita (%),Population Growth Rate: Historic (%),Population Growth Rate: Future (%),Average Annual Precipitation (mm/year),Percent of Waste to Landfills with Gas Capture (%),Percent of Waste to Landfills without Gas Capture (%),Percent of Waste to Dumpsites (%),Diversion Components: Composted Food (% of Total Composted),Diversion Components: Composted Green (% of Total Composted),Diversion Components: Composted Wood (% of Total Composted),Diversion Components: Composted Paper and Cardboard (% of Total Composted),Diversion Components: Anaerobically Digested Food (% of Total Digested),Diversion Components: Anaerobically Digested Green (% of Total Digested),Diversion Components: Anaerobically Digested Wood (% of Total Digested),Diversion Components: Anaerobically Digested Paper and Cardboard (% of Total Digested),Diversion Components: Incinerated Food (% of Total Incinerated),Diversion Components: Incinerated Green (% of Total Incinerated),Diversion Components: Incinerated Wood (% of Total Incinerated),Diversion Components: Incinerated Paper and Cardboard (% of Total Incinerated),Diversion Components: Incinerated Textiles (% of Total Incinerated),Diversion Components: Incinerated Plastic (% of Total Incinerated),Diversion Components: Incinerated Rubber/Leather (% of Total Incinerated),Diversion Components: Recycled Wood (% of Total Recycled),Diversion Components: Recycled Paper and Cardboard (% of Total Recycled),Diversion Components: Recycled Textiles (% of Total Recycled),Diversion Components: Recycled Plastic (% of Total Recycled),Diversion Components: Recycled Rubber/Leather (% of Total Recycled),Diversion Components: Recycled Metal (% of Total Recycled),Diversion Components: Recycled Glass (% of Total Recycled),Diversion Components: Recycled Other (% of Total Recycled),Informal Waste Collection Rate (%),Fraction of Waste to Methane Capture Landfills (%),Methane Capture Efficiency (%)
Nashik,India,IND,20.0112475,73.7902364,1486053.0,World Bank,147618.75456,0.2739067852896229,65.96806387225548,0.0,0.0,9.181636726546904,1.1976047904191618,6.986027944111776,0.8982035928143712,1.497005988023952,0.3992015968063871,13.872255489021956,5.0,0.0,0.0,0.0,SWEET Model,2022,2756.5499643439566,0.0,0.0,673.1754861377307,55.80286260246314,3485.52831308415,2.345493944754427,29.666666666666668,3.825028902035732,2.373568802675341,1330,0.0,36.36363636363637,63.636363636363626,87.78220451527224,0.0,0.0,12.217795484727755,0.0,0.0,0.0,0.0,78.78426698450536,0.0,0.0,10.96543504171633,1.4302741358760431,8.34326579261025,0.4767580452920142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,60.0
Dhanbad,India,IND,23.7952809,86.4309638,1162472.0,World Bank,197065.3104,0.4665918835034306,65.96806387225548,0.0,0.0,9.181636726546904,1.1976047904191618,6.986027944111776,0.8982035928143712,1.497005988023952,0.3992015968063871,13.872255489021956,5.0,0.0,0.0,0.0,SWEET Model,2022,2496.2728003509524,0.0,0.0,596.8118694582674,49.46838924881809,3142.5530590580383,2.7033365612746274,38.66666666666666,4.284504822359314,1.9749024629718503,1171,0.0,0.0,100.0,87.78220451527224,0.0,0.0,12.217795484727755,0.0,0.0,0.0,0.0,78.78426698450536,0.0,0.0,10.96543504171633,1.4302741358760431,8.34326579261025,0.4767580452920142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4599999999999999,0.0,60.0
Delhi,India,IND,28.6273928,77.1716954,11034555.0,World Bank,2569311.65,0.7603387721571011,70.32813125250101,0.0,0.0,20.26810724289716,0.0,0.0,0.0,0.0,0.0,9.403761504601842,7.8,0.0,31.9,15.0,SWEET Model,2022,22553.77747009133,0.0,0.0,3914.8630641544505,0.0,26468.64053424578,2.3987048443952457,31.666666666666664,4.522867843499867,2.417725556645656,731,0.0,0.0,100.0,77.62809187279152,0.0,0.0,22.37190812720848,0.0,0.0,0.0,0.0,77.62809187279152,0.0,0.0,22.37190812720848,0.0,0.0,0.0,0.0,68.30748482805124,0.0,0.0,0.0,0.0,0.0,31.69251517194876,16.1,0.0,60.0
Srinagar,India,IND,34.0747444,74.8204443,1147613.0,World Bank,100751.5194,0.2539880604350072,65.96806387225548,0.0,0.0,9.181636726546904,1.1976047904191618,6.986027944111776,0.8982035928143712,1.497005988023952,0.3992015968063871,13.872255489021956,5.0,0.0,0.0,0.0,SWEET Model,2022,1253.5039176898574,0.0,0.0,304.7084131768976,25.25647073410108,1583.468801600856,1.3797933637915012,15.666666666666668,2.6583629022044253,2.251063803911202,749,0.0,0.0,100.0,87.78220451527224,0.0,0.0,12.217795484727755,0.0,0.0,0.0,0.0,78.78426698450536,0.0,0.0,10.96543504171633,1.4302741358760431,8.34326579261025,0.4767580452920142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,60.0
Ghaziabad,India,IND,28.6711527,77.4120356,1648643.0,World Bank,271925.0,0.4518867941695079,55.94,0.0,3.28,9.71,0.0,9.12,0.64,1.39,0.98,18.94,40.0,0.0,0.0,0.0,SWEET Model,2022,1462.13033570766,0.0,94.75285447975962,424.61354669132027,0.0,1981.49673687874,1.2018955813227847,12.333333333333334,4.522867843499867,2.417725556645656,731,0.0,0.0,100.0,81.15479471928043,0.0,4.75845060206006,14.08675467865951,0.0,0.0,0.0,0.0,70.78324686827787,0.0,4.150322662280146,12.286473491079338,0.0,11.539921548778944,1.2400354295837024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
Imphal,India,IND,24.7991162,93.9364419,268243.0,World Bank,29200.0,0.2982370462602938,60.0,0.0,5.0,10.0,0.0,5.0,1.0,2.0,2.0,15.0,5.0,0.0,0.0,0.0,SWEET Model,2022,353.8080146937109,0.0,50.25244255473763,122.2835205475147,0.0,526.3439777959633,1.962190915684522,23.666666666666668,2.8009967634765376,2.462802557076671,2502,0.0,0.0,100.0,80.0,0.0,6.666666666666667,13.333333333333334,0.0,0.0,0.0,0.0,73.17073170731706,0.0,6.097560975609756,12.195121951219512,0.0,6.097560975609756,2.4390243902439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
Surat,India,IND,21.2094892,72.8317058,5500000.0,World Bank,620500.0,0.3090909090909091,65.96806387225548,0.0,0.0,9.181636726546904,1.1976047904191618,6.986027944111776,0.8982035928143712,1.497005988023952,0.3992015968063871,13.872255489021956,23.5,0.0,0.0,0.0,SWEET Model,2022,6162.948534683121,0.0,0.0,1441.8772778148002,150.26458907435895,7755.090401572279,1.4100164366495052,16.0,5.016384024240161,2.7631632855850574,1070,0.0,0.0,100.0,87.78220451527224,0.0,0.0,12.217795484727755,0.0,0.0,0.0,0.0,78.78426698450536,0.0,0.0,10.96543504171633,1.4302741358760431,8.34326579261025,0.4767580452920142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
Vijaywada,India,IND,16.511298,80.6346206,1137793.0,World Bank,207320.0,0.499212071088502,65.96806387225548,0.0,0.0,9.181636726546904,1.1976047904191618,6.986027944111776,0.8982035928143712,1.497005988023952,0.3992015968063871,13.872255489021956,22.0,3.5000000000000004,0.0,0.0,SWEET Model,2022,1890.71295779463,0.0,0.0,434.2635059510162,47.15239429436978,2372.1288580400164,2.084850986110845,25.666666666666664,3.754011291591497,2.4736797892732865,907,0.0,0.0,100.0,87.78220451527224,0.0,0.0,12.217795484727755,87.78220451527224,0.0,0.0,12.217795484727755,78.78426698450536,0.0,0.0,10.96543504171633,1.4302741358760431,8.34326579261025,0.4767580452920142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
Chennai,India,IND,13.0836939,80.270186,6671309.0,World Bank,1815145.0,0.7494781009244214,8.011215701982778,32.29521329861807,6.999799719607451,6.459042659723615,0.0,7.0498698177448444,0.0300420588824354,0.0,1.452032845984378,37.70278389745644,1.0,0.0,0.0,0.0,SWEET Model,2022,6672.283762447039,32324.13759891924,8254.761628236969,10015.227363800572,0.0,57266.41035340382,8.583984095685542,82.33333333333334,2.891914969846732,2.275703725437017,1239,0.0,100.0,0.0,14.90035388340473,60.06705159247532,13.019184205624883,12.013410318495064,0.0,0.0,0.0,0.0,12.86587327114828,51.86555162431651,11.24155677066581,10.373110324863305,0.0,11.32196847861049,2.331939530395626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,60.0
Indore,India,IND,22.7203616,75.8681996,1994397.0,World Bank,316017.0,0.4512642167030937,59.0,4.0,0.0,2.0,0.0,3.5000000000000004,0.5,0.5,3.5000000000000004,27.0,50.0,0.0,0.0,0.0,SWEET Model,2022,1208.341262805067,99.36568944982704,0.0,81.02452072251383,0.0,1388.7314729774075,0.6963164670712039,7.333333333333333,3.3413600858449133,2.488490909457397,964,0.0,0.0,100.0,90.76923076923076,6.153846153846155,0.0,3.076923076923077,0.0,0.0,0.0,0.0,81.94444444444444,5.555555555555556,0.0,2.777777777777778,0.0,4.861111111111112,4.861111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,60.0
Coimbatore,India,IND,11.0018115,76.9628425,1050721.0,World Bank,324850.0,0.8470374152605687,76.95,0.0,0.0,5.55,0.0,0.0,0.0,0.0,0.0,17.5,53.400000000000006,0.1,0.0,20.0,SWEET Model,2022,1759.8385087017778,0.0,0.0,119.56164770903528,0.0,1879.400156410813,1.788676686209577,19.33333333333333,3.339705102115609,2.340782455686252,1085,99.91673605328891,0.0,0.0832639467110741,95.56296444024385,0.0,0.0,4.437035559756171,95.56296444024385,0.0,0.0,4.437035559756171,93.27272727272728,0.0,0.0,6.727272727272727,0.0,0.0,0.0,0.0,15.880929877652244,0.0,0.0,0.0,0.0,0.0,84.11907012234776,0.0,99.91673605328891,60.0
Greater Mumbai,India,IND,19.1074889,72.8718705,12478447.0,World Bank,2464583.70015,0.5484095897510324,37.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,48.0,5.0,0.0,0.0,0.0,SWEET Model,2022,17630.614534352084,0.0,0.0,15073.681426702964,0.0,32704.29596105505,2.6208626731399387,36.0,2.734286984807865,1.96822943481596,2274,0.0,0.0,100.0,71.15384615384615,0.0,0.0,28.846153846153843,0.0,0.0,0.0,0.0,71.15384615384615,0.0,0.0,28.846153846153843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,60.0
Guwahati,India,IND,26.1805978,91.753943,957352.0,World Bank,222524.367,0.6382187533947806,65.96806387225548,0.0,0.0,9.181636726546904,1.1976047904191618,6.986027944111776,0.8982035928143712,1.497005988023952,0.3992015968063871,13.872255489021956,8.2,0.0,0.0,0.0,SWEET Model,2022,2772.1291847872694,0.0,0.0,698.7487926072189,60.04607206656844,3530.9240494610567,3.6882192228783737,54.0,4.78011953466253,2.071463106536231,1713,0.0,0.0,100.0,87.78220451527224,0.0,0.0,12.217795484727755,0.0,0.0,0.0,0.0,78.78426698450536,0.0,0.0,10.96543504171633,1.4302741358760431,8.34326579261025,0.4767580452920142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,60.0
Bhubaneswar,India,IND,20.2602964,85.8394521,837737.0,World Bank,180139.18000000002,0.6207198679299112,65.96806387225548,0.0,0.0,9.181636726546904,1.1976047904191618,6.986027944111776,0.8982035928143712,1.497005988023952,0.3992015968063871,13.872255489021956,5.0,0.0,0.0,0.0,SWEET Model,2022,2345.898197409237,0.0,0.0,547.6811749149912,45.39582510379714,2938.975197428025,3.508231339224632,50.0,6.351296321043876,2.357439776425707,1548,0.0,0.0,100.0,87.78220451527224,0.0,0.0,12.217795484727755,0.0,0.0,0.0,0.0,78.78426698450536,0.0,0.0,10.96543504171633,1.4302741358760431,8.34326579261025,0.4767580452920142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09,0.0,60.0
Mysore,India,IND,12.3051828,76.6553609,1058210.0,World Bank,143501.94,0.3798867899566249,55.00000000000001,0.0,0.0,10.0,0.0,13.0,0.0,9.0,3.0,10.0,50.0,0.0,0.0,22.0,SWEET Model,2022,856.9598403373008,0.0,0.0,200.52048065917924,0.0,1057.48032099648,0.9993104591682936,10.333333333333334,2.358800522752436,2.1887016447210472,723,0.0,64.58333333333334,35.41666666666667,87.77173913043478,0.0,0.0,12.228260869565217,0.0,0.0,0.0,0.0,67.90123456790124,0.0,0.0,12.34567901234568,0.0,16.049382716049383,3.7037037037037033,0.0,17.66304347826087,0.0,30.582298136645967,7.057453416149068,0.0,21.172360248447205,23.524844720496898,2.2,0.0,60.0
Warangal,India,IND,17.9820644,79.5970954,615998.0,World Bank,106543.5,0.4870145682291176,51.14000000000001,0.0,0.0,19.590000000000003,0.0,13.740000000000002,0.0,0.0,0.0,15.530000000000005,3.66,2.0,0.0,1.66,SWEET Model,2022,1008.4953122242978,0.0,0.0,641.7228286460153,0.0,1650.218140870313,2.6789342511993754,38.0,2.897282500924736,2.2864068121626118,960,0.0,0.0,100.0,72.303124558179,0.0,0.0,27.69687544182101,72.303124558179,0.0,0.0,27.69687544182101,60.54220433289926,0.0,0.0,23.191665680123123,0.0,16.266129986977628,0.0,0.0,40.094146541137945,0.0,28.121162505116665,0.0,0.0,0.0,31.7846909537454,2.7,0.0,60.0
